HKK 33 V2.0
EG.Rollläden.0/2/8	Rolladen C - EG Wohnzimmer START/STOP	EIS 1 'Switching' (1 Bit)	Low	5/3/4 5/3/7
EG.Rollläden.0/2/9	Rolladen C - EG Wohnzimmer POSITION	Uncertain (1 Byte)	Low	
EG.Rollläden.0/2/10	Rolladen K - EG Küche  Strasse AUF/AB	EIS 1 'Switching' (1 Bit)	Low	5/3/0 5/3/3
EG.Rollläden.0/2/11	Rolladen K - EG Küche  Strasse START/STOP	EIS 1 'Switching' (1 Bit)	Low	5/3/4 5/3/7
EG.Rollläden.0/2/12	Rolladen K - EG  Küche Strasse POSITION	Uncertain (1 Byte)	Low	
EG.Rollläden.0/2/13	Rolladen L/M - EG Küche Seite  START/STOP	EIS 1 'Switching' (1 Bit)	Low	5/3/4 5/3/7
EG.Rollläden.0/2/14	Rolladen L/M - EG  Küche Seite POSITION	Uncertain (1 Byte)	Low	
EG.Rollläden.0/2/15	Rollladen A/B - EG Esszimmer AUF/AB	EIS 1 'Switching' (1 Bit)	Low	
EG.Rollläden.0/2/16	Rollladen A/B - EG Esszimmer START/STOP	EIS 1 'Switching' (1 Bit)	Low	
EG.Rollläden.0/2/17	Rolladen A/B - EG Esszimmer POSITION	Uncertain (1 Byte)	Low	
EG.Rollläden.0/2/50	Markise Balkon	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Rollläden.0/3/0	Rolladen L/M - EG Küche Seite STATUS	Uncertain (1 Byte)	Low	
EG.RM Rollläden.0/3/1	Rollladen A - EG Esszimmer Eck STATUS	Uncertain (1 Byte)	Low	
EG.RM Rollläden.0/3/4	Rolladen B - EG Ausgang Balkon STATUS	Uncertain (1 Byte)	Low	
EG.RM Rollläden.0/3/7	Rolladen C - EG Wohnzimmer STATUS	Uncertain (1 Byte)	Low	
EG.RM Rollläden.0/3/10	Rolladen K - EG Küche  Strasse STATUS	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/0	EG - Ausgang 1 - Küche	EIS 1 'Switching' (1 Bit)	Low	
EG.Heizung.0/6/1	EG - Ausgang 2 - Wohnzimmer	EIS 1 'Switching' (1 Bit)	Low	
EG.Heizung.0/6/2	EG - Ausgang 3 - FlurWC	EIS 1 'Switching' (1 Bit)	Low	
EG.Heizung.0/6/3	EG - Ausgang 4 - unbelegt	EIS 1 'Switching' (1 Bit)	Low	
EG.Heizung.0/6/4	EG - Ausgang 5 - unbelegt	EIS 1 'Switching' (1 Bit)	Low	
EG.Heizung.0/6/5	EG - Ausgang 6 - unbelegt	EIS 1 'Switching' (1 Bit)	Low	
EG.Heizung.0/6/102	EG - Küche RTR BM	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/103	EG - Küche RTR STATUS	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/104	EG - Küche RTR RM HEIZEN	EIS 1 'Switching' (1 Bit)	Low	
EG.Heizung.0/6/112	EG - Wohnzimmer RTR BM	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/113	EG - Wohnzimmer RTR STATUS	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/114	EG - Wohnzimmer RTR RM HEIZEN	EIS 1 'Switching' (1 Bit)	Low	
EG.Heizung.0/6/101	EG - Küche RTR SOLL	Uncertain (2 Byte)	Low	
EG.Heizung.0/6/111	EG - Wohnzimmer RTR SOLL	Uncertain (2 Byte)	Low	
EG.Heizung.0/6/105	EG - Küche RTR RM WERT	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/107	EG - Küche RTR RM SOLLVERSCH	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/106	EG - Küche RTR SOLLVERSCH	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/115	EG - Wohnzimmer RTR RM WERT	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/117	EG - Wohnzimmer RTR RM SOLLVERSCH	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/116	EG - Wohnzimmer RTR SOLLVERSCH	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/124	EG - Flur+WC RTR RM HEIZEN	EIS 1 'Switching' (1 Bit)	Low	
EG.Heizung.0/6/121	EG - Flur+WC RTR SOLL	Uncertain (2 Byte)	Low	
EG.Heizung.0/6/123	EG - Flur+WC RTR STATUS	Uncertain (1 Byte)	Low	
EG.Heizung.0/6/122	EG - Flur+WC RTR BM	Uncertain (1 Byte)	Low	
EG.RM Heizung.0/7/0	EG - Ausgang 1 - Küche STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Heizung.0/7/1	EG - Ausgang 2 - Wohnzimmer STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Heizung.0/7/2	EG - Ausgang 3 - FlurWC STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Heizung.0/7/3	EG - Ausgang 4 - unbelegt STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Heizung.0/7/4	EG - Ausgang 5 - unbelegt STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Heizung.0/7/5	EG - Ausgang 6 - unbelegt STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Heizung.0/7/6	EG - Status alle Ventile (0 = alle geschlossen)	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Steckdosen + Lüfter.0/5/0	EG - Lüfter WC (max) STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Steckdosen + Lüfter.0/5/1	46 - EG Steckdose Carport STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Steckdosen + Lüfter.0/5/2	47 - EG Steckdose Wohnzimmer Fußboden STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.RM Steckdosen + Lüfter.0/5/3	EG - Luefter WC (min) STATUS	EIS 1 'Switching' (1 Bit)	Low	
EG.Steckdosen + Lüfter.0/4/0	EG - Lüfter WC (max)	EIS 1 'Switching' (1 Bit)	Low	
EG.Steckdosen + Lüfter.0/4/1	46 - EG Steckdose Carport	EIS 1 'Switching' (1 Bit)	Low	0/5/1 5/1/0 5/1/50
EG.Steckdosen + Lüfter.0/4/2	47 - EG Steckdose Wohnzimmer Bodentank	EIS 1 'Switching' (1 Bit)	Low	5/1/0 5/1/50
EG.Steckdosen + Lüfter.0/4/3	EG - Luefter WC (min)	EIS 1 'Switching' (1 Bit)	Low	
EG.Steckdosen + Lüfter.0/4/50	EG eno-Steckdosen blau in Lowboard (mit STATUS)	EIS 1 'Switching' (1 Bit)	Low	
EG.Steckdosen + Lüfter.0/4/51	EG eno-Steckdosen grau in Lowboard (mit STATUS)	EIS 1 'Switching' (1 Bit)	Low	
HG.Beleuchtung.1/0/0	28 - HG Arbeitszimmer Schreibtisch	EIS 1 'Switching' (1 Bit)	Low	1/1/0 5/1/0 5/1/51
